,Discharge,Uncertainty,Elevation
3/18/15 9:11,3.08,3.1,9.87625
5/7/15 12:45,7.75,2.7,10.05625
5/4/15 10:50,6.39,3.1,10.02625
5/1/15 10:28,5.52,2.9,9.98625
11/6/15 13:15,2.60,3.1,9.83875
10/6/15 15:30,1.06,2.9,9.69625
8/31/15 15:15,0.25,4.1,9.54875
8/18/15 11:30,0.34,3.8,9.56875
7/30/15 16:30,0.58,4.0,9.62125
7/22/15 10:00,0.96,3.1,9.68625
7/17/15 11:15,1.37,3.2,9.72625
7/14/15 12:30,1.56,3.4,9.74625
7/9/15 12:45,1.91,2.8,9.77875
5/20/15 10:45,9.63,2.9,10.14125
5/19/15 15:25,9.83,2.8,10.12875
5/13/15 9:37,5.93,2.7,10
7/23/14 0:00,0.81,3.1,9.66375
2/24/15 14:38,2.07,2.6,9.79875
4/28/2016 10:44,7.88,15,10.08375
5/26/2016 11:43,13.12,15,10.19875
4/22/16 11:37,8.99,15,10.11875
5/9/2016,15.65,15,10.23375
2/11/15 14:50,2.74,15,9.85075
3/31/15 11:50,3.86,15,9.91375
4/3/15 16:15,4.16,15,9.92875
4/14/15 9:45,2.16,15,9.80125
4/21/15 12:00,4.09,10,9.92375
4/22/15 9:00,4.54,10,9.94375
6/23/15 10:30,2.92,10,9.84375
7/3/15 9:40,1.75,10,9.76625
